evaluate_id,customer_id,customer_name,hotel_id,room_id,type_room_id,evaluate_title,evaluate_content,evaluate_loaction_point,evaluate_service_point,evaluate_price_point,evaluate_sanitary_point,evaluate_convenient_point,created_at,updated_at,deleted_at
616,148,Lê Thị Linh,8,21,53,Tuyệt vời,Dịch vụ chuyên nghiệp,4,4,3,4,4,2024-10-14 17:00:00,nan,
617,148,Lê Thị Linh,11,30,81,Đáng giá tiền,Vị trí thuận lợi,3,4,3,4,4,2024-07-23 17:00:00,nan,
618,148,Lê Thị Linh,10,27,75,Tuyệt vời,Vị trí thuận lợi,4,4,2,3,4,2024-10-26 17:00:00,nan,
619,149,Phan Văn Dũng,16,45,117,Tuyệt vời,Dịch vụ chuyên nghiệp,4,5,5,5,5,2024-05-20 17:00:00,nan,
620,149,Phan Văn Dũng,19,56,146,Rất hài lòng,Khách sạn rất tốt,3,4,3,3,4,2024-01-28 17:00:00,nan,
621,149,Phan Văn Dũng,4,9,17,Khách sạn tốt,Khách sạn rất tốt,5,5,3,5,5,2024-07-15 17:00:00,nan,
1000,312,Dương Hải Lan,6,15,44,Khá ổn,"Phục vụ nhanh chóng, chuyên nghiệp.",5,5,3,5,4,2024-06-28 17:00:00,nan,
1001,95,Võ Minh Mai,7,18,73,Dịch vụ tốt,"Phòng cách âm tốt, yên tĩnh.",4,5,4,5,5,2024-11-20 17:00:00,nan,
1002,336,Vũ Văn Dũng,12,33,87,Vị trí thuận lợi,"Wifi nhanh, ổn định.",2,4,3,4,2,2024-02-27 17:00:00,nan,
1003,120,Ngô Hải Anh,16,45,117,Sẽ quay lại,"Đồ ăn ngon, view đẹp, sẽ quay lại.",5,4,3,4,5,2024-12-21 17:00:00,nan,
1004,392,Đỗ Hoàng Phong,9,24,62,Tuyệt vời,"Bữa sáng ngon, đa dạng món ăn.",4,4,5,4,4,2024-06-24 17:00:00,nan,
1005,268,Đặng Minh Nga,2,6,8,Rất tốt,"Phòng cách âm tốt, yên tĩnh.",4,5,5,4,5,2024-03-12 17:00:00,nan,
1006,337,Dương Hoàng Linh,2,6,8,Sạch sẽ,"Phòng cách âm tốt, yên tĩnh.",4,4,4,5,5,2024-08-13 17:00:00,nan,
1007,335,Hồ Đức Bình,21,62,161,Thất vọng,"Bữa sáng ngon, đa dạng món ăn.",5,4,4,5,5,2024-12-26 17:00:00,nan,
1008,345,Ngô Văn Phong,4,9,17,Hoàn hảo,"Bữa sáng ngon, đa dạng món ăn.",5,5,5,4,5,2024-08-09 17:00:00,nan,
1009,398,Dương Hữu Mai,21,60,156,Sạch sẽ,"Khách sạn rất tuyệt vời, dịch vụ chu đáo, nhân viên thân thiện.",5,5,5,5,5,2024-05-02 17:00:00,nan,
1010,64,Vũ Văn Linh,2,7,11,Ổn,"Phòng hơi chật, tiện nghi chưa đầy đủ lắm.",5,5,5,5,5,2024-03-10 17:00:00,nan,
1011,338,Dương Quốc Nga,16,45,117,Giá hợp lý,"Đồ ăn ngon, view đẹp, sẽ quay lại.",4,4,5,5,4,2024-05-08 17:00:00,nan,
1012,371,Ngô Hoàng Hùng,21,62,161,Hoàn hảo,"Nhân viên phục vụ rất tốt, nhiệt tình.",5,4,5,5,5,2024-07-12 17:00:00,nan,
1013,118,Lê Hữu Cường,6,15,43,Hoàn hảo,Giá hơi cao so với chất lượng.,5,5,5,4,5,2024-09-25 17:00:00,nan,
1014,281,Đặng Đức Hùng,2,7,9,Không tốt lắm,Giá hơi cao so với chất lượng.,4,4,3,5,5,2024-05-06 17:00:00,nan,
1015,337,Dương Hoàng Linh,4,9,18,Hài lòng,"Đồ ăn ngon, view đẹp, sẽ quay lại.",5,5,3,5,5,2024-11-25 17:00:00,nan,
1016,71,Hồ Hải Anh,3,3,38,Thất vọng,"Khách sạn rất tuyệt vời, dịch vụ chu đáo, nhân viên thân thiện.",5,5,4,5,5,2024-12-20 17:00:00,nan,
1017,149,Lý Quốc Lan,16,45,117,Hài lòng,"Phòng hơi chật, tiện nghi chưa đầy đủ lắm.",5,5,3,5,5,2024-03-11 17:00:00,nan,
1018,367,Lê Minh Anh,16,45,117,Hài lòng,"Nhân viên phục vụ rất tốt, nhiệt tình.",5,4,4,5,5,2024-08-14 17:00:00,nan,
1019,275,Dương Thị Phong,3,2,1,Hoàn hảo,"Không gian thoáng đãng, thoải mái.",5,5,3,5,5,2024-11-30 17:00:00,nan,
1020,33,Hồ Thanh Linh,7,19,72,Không tốt lắm,"Phòng sạch sẽ, tiện nghi đầy đủ, view đẹp.",5,4,4,5,4,2024-08-26 17:00:00,nan,
1021,317,Phạm Minh Anh,10,27,75,Sẽ quay lại,"Khách sạn rất tuyệt vời, dịch vụ chu đáo, nhân viên thân thiện.",4,5,3,3,3,2024-04-13 17:00:00,nan,
1022,7,Bùi Thu Dũng,5,13,29,Ổn,"Vị trí thuận lợi, gần biển, dễ đi lại.",5,5,5,5,5,2024-07-12 17:00:00,nan,
1023,59,Hồ Hữu Nga,9,24,62,Sạch sẽ,"Bữa sáng ngon, đa dạng món ăn.",5,4,4,5,5,2024-08-06 17:00:00,nan,
1024,350,Trần Minh Hạnh,9,24,62,Sạch sẽ,"Phòng hơi chật, tiện nghi chưa đầy đủ lắm.",5,5,4,4,5,2024-06-10 17:00:00,nan,
1025,393,Nguyễn Thu Linh,5,13,30,Đáng giá tiền,Giá hơi cao so với chất lượng.,5,5,3,4,5,2024-03-17 17:00:00,nan,
1026,344,Võ Văn Nam,22,65,172,Không tốt lắm,"Vị trí thuận lợi, gần biển, dễ đi lại.",4,4,1,4,4,2024-12-22 17:00:00,nan,
1027,369,Võ Thanh Cường,19,54,140,Tuyệt vời,"Phòng hơi chật, tiện nghi chưa đầy đủ lắm.",3,5,3,5,4,2024-02-22 17:00:00,nan,
1028,40,Ngô Quốc Lan,3,3,37,Ổn,"Vị trí thuận lợi, gần biển, dễ đi lại.",5,5,3,5,5,2024-02-11 17:00:00,nan,
1029,117,Võ Thanh Cường,2,6,8,Rất tốt,"Không gian thoáng đãng, thoải mái.",4,4,3,4,4,2024-12-15 17:00:00,nan,
1030,143,Đỗ Quốc Phong,3,5,40,Hoàn hảo,"Wifi nhanh, ổn định.",4,5,4,4,4,2024-11-22 17:00:00,nan,
1031,340,Hồ Hữu Hạnh,3,5,39,Tốt,"Khách sạn rất tuyệt vời, dịch vụ chu đáo, nhân viên thân thiện.",5,5,3,5,5,2024-10-18 17:00:00,nan,
1032,296,Đỗ Minh Mai,3,2,1,Tốt,"Phòng hơi chật, tiện nghi chưa đầy đủ lắm.",5,4,5,5,5,2024-09-04 17:00:00,nan,
1033,297,Bùi Hoàng Bình,19,56,147,Tuyệt vời,"Nhân viên phục vụ rất tốt, nhiệt tình.",3,5,2,5,3,2024-05-18 17:00:00,nan,
1034,338,Dương Quốc Nga,10,29,79,Xuất sắc,"Phòng sạch sẽ, tiện nghi đầy đủ, view đẹp.",4,3,4,3,5,2024-12-25 17:00:00,nan,
1035,76,Ngô Hữu Phong,17,48,125,Tuyệt với,Giá hơi cao so với chất lượng.,5,4,3,5,5,2024-10-18 17:00:00,nan,
1036,98,Hồ Quốc Lan,17,48,125,Dịch vụ tốt,"Không gian thoáng đãng, thoải mái.",5,4,3,4,4,2025-01-03 17:00:00,nan,
1037,384,Bùi Văn Phong,2,8,15,Dịch vụ tốt,Giá hơi cao so với chất lượng.,5,4,4,5,4,2024-08-21 17:00:00,nan,
1038,40,Bùi Thị Bình,19,56,147,Đáng giá tiền,Giá hơi cao so với chất lượng.,5,5,4,5,4,2024-10-07 17:00:00,nan,
1039,57,Ngô Hoàng Nam,2,6,8,Sẽ quay lại,"Nhân viên phục vụ rất tốt, nhiệt tình.",5,4,3,5,4,2024-09-25 17:00:00,nan,
1040,52,Dương Thanh Long,19,56,147,Tuyệt với,"Phục vụ nhanh chóng, chuyên nghiệp.",4,5,3,4,3,2024-02-07 17:00:00,nan,
1041,322,Hoàng Minh Dũng,17,48,125,Đáng giá tiền,"Hồ bơi sạch sẽ, khu vực giải trí đa dạng.",5,5,4,5,5,2024-05-31 17:00:00,nan,
1042,125,Vũ Hữu Mai,12,33,87,Rất tốt,"Wifi nhanh, ổn định.",3,2,1,3,3,2024-12-24 17:00:00,nan,
1043,7,Hồ Hải Mai,20,57,148,Phòng đẹp,"Hồ bơi sạch sẽ, khu vực giải trí đa dạng.",4,3,4,4,3,2024-10-21 17:00:00,nan,
1044,108,Lý Thị Cường,9,24,62,Khá ổn,Giá hơi cao so với chất lượng.,4,4,3,5,5,2024-06-22 17:00:00,nan,
1045,334,Lý Thu Bình,4,11,23,Sẽ quay lại,"Wifi nhanh, ổn định.",5,4,5,5,5,2024-09-25 17:00:00,nan,
1046,376,Nguyễn Quốc Mai,17,48,125,Ổn,"Phục vụ nhanh chóng, chuyên nghiệp.",5,5,5,4,4,2024-09-15 17:00:00,nan,
1047,87,Võ Thị Cường,3,3,38,Không tốt lắm,"Không gian thoáng đãng, thoải mái.",5,5,3,5,5,2024-08-12 17:00:00,nan,
1048,329,Võ Văn Nga,9,24,62,Hoàn hảo,Giá hơi cao so với chất lượng.,4,4,5,5,5,2024-11-02 17:00:00,nan,
1049,47,Phan Hoàng Mai,22,64,171,Tuyệt vời,"Bữa sáng ngon, đa dạng món ăn.",3,2,1,4,3,2024-04-14 17:00:00,nan,
1050,74,Lý Thị Anh,5,12,26,Xuất sắc,"Vệ sinh sạch sẽ, khăn trải giường mới.",5,4,3,5,4,2024-03-11 17:00:00,nan,
1051,31,Phan Hữu Hương,10,29,79,Sẽ quay lại,"Phòng cách âm tốt, yên tĩnh.",3,3,4,4,3,2024-10-02 17:00:00,nan,
1052,253,Vũ Đức Mai,6,15,45,Hài lòng,"Wifi nhanh, ổn định.",4,4,4,5,4,2024-10-19 17:00:00,nan,
1053,331,Bùi Thu Linh,2,7,9,Sạch sẽ,"Phòng hơi chật, tiện nghi chưa đầy đủ lắm.",4,5,4,5,5,2024-06-30 17:00:00,nan,
1054,85,Bùi Quốc Cường,4,11,23,Hoàn hảo,"Nhân viên phục vụ rất tốt, nhiệt tình.",5,5,5,5,5,2024-11-05 17:00:00,nan,
1055,301,Lý Thị Nam,7,19,72,Sẽ quay lại,Giá hơi cao so với chất lượng.,4,5,5,4,4,2024-04-11 17:00:00,nan,
1056,54,Nguyễn Hữu Hùng,5,14,32,Rất tốt,"Phòng cách âm tốt, yên tĩnh.",4,5,4,5,4,2024-10-06 17:00:00,nan,
1057,291,Nguyễn Thanh Anh,19,56,147,Hài lòng,"Nhân viên phục vụ rất tốt, nhiệt tình.",4,3,3,5,5,2024-12-14 17:00:00,nan,
1058,7,Lý Quốc Hạnh,20,57,148,Tuyệt vời,"Đồ ăn ngon, view đẹp, sẽ quay lại.",5,5,3,5,3,2024-04-28 17:00:00,nan,
1059,58,Lê Thu Phong,20,57,148,Hoàn hảo,"Nhân viên phục vụ rất tốt, nhiệt tình.",3,5,2,5,4,2024-11-28 17:00:00,nan,
1060,253,Vũ Đức Mai,19,54,140,Tốt,"Bữa sáng ngon, đa dạng món ăn.",4,4,2,3,3,2024-11-27 17:00:00,nan,
1061,394,Đỗ Hữu Mai,19,54,140,Vị trí thuận lợi,Giá hơi cao so với chất lượng.,4,3,2,5,3,2024-02-14 17:00:00,nan,
1062,347,Võ Minh Phong,17,48,125,Không tốt lắm,"Phòng sạch sẽ, tiện nghi đầy đủ, view đẹp.",4,4,5,5,5,2024-07-13 17:00:00,nan,
1063,360,Đỗ Hải Mai,12,33,87,Tuyệt vời,Giá cả hợp lý so với chất lượng.,3,3,1,2,3,2024-06-04 17:00:00,nan,
1064,14,Bùi Văn Trang,21,60,156,Vị trí thuận lợi,"Phòng cách âm tốt, yên tĩnh.",5,5,3,5,5,2025-01-05 17:00:00,nan,
1065,396,Đặng Hữu Hạnh,20,57,148,Đáng giá tiền,"Phòng hơi chật, tiện nghi chưa đầy đủ lắm.",3,3,3,4,5,2024-02-23 17:00:00,nan,
1066,26,Đỗ Đức Mai,4,10,22,Xuất sắc,"Phòng sạch sẽ, tiện nghi đầy đủ, view đẹp.",5,4,5,5,5,2024-12-17 17:00:00,nan,
1067,334,Lý Thu Bình,5,12,28,Thất vọng,"Hồ bơi sạch sẽ, khu vực giải trí đa dạng.",5,5,5,5,4,2024-07-07 17:00:00,nan,
1068,5,Trần Quốc Long,21,62,161,Đáng giá tiền,"Nhân viên phục vụ rất tốt, nhiệt tình.",5,5,3,5,5,2024-11-01 17:00:00,nan,
1069,263,Trần Đức Hương,22,63,170,Hài lòng,"Vị trí thuận lợi, gần biển, dễ đi lại.",4,2,2,3,2,2024-04-18 17:00:00,nan,
1070,82,Ngô Thanh Nga,3,2,4,Khá ổn,"Vệ sinh sạch sẽ, khăn trải giường mới.",5,5,4,4,5,2024-11-21 17:00:00,nan,
1071,112,Võ Thanh Anh,18,51,132,Phòng đẹp,"Phục vụ nhanh chóng, chuyên nghiệp.",5,3,3,4,4,2024-12-06 17:00:00,nan,
1072,324,Hoàng Thu Long,15,42,110,Phòng đẹp,"Phòng hơi chật, tiện nghi chưa đầy đủ lắm.",5,5,5,4,5,2024-10-03 17:00:00,nan,
1073,95,Phan Thanh Cường,3,5,39,Hoàn hảo,"Phòng cách âm tốt, yên tĩnh.",4,5,4,5,5,2024-06-03 17:00:00,nan,
1074,322,Hoàng Minh Dũng,7,18,72,Vị trí thuận lợi,"Đồ ăn ngon, view đẹp, sẽ quay lại.",5,5,4,5,5,2025-01-04 17:00:00,nan,
1075,350,Trần Minh Hạnh,16,45,117,Ổn,"Phòng cách âm tốt, yên tĩnh.",5,4,3,5,5,2024-04-30 17:00:00,nan,
1076,137,Hoàng Quốc Hương,22,65,172,Phòng đẹp,"Vị trí thuận lợi, gần biển, dễ đi lại.",3,4,1,4,2,2024-12-04 17:00:00,nan,
1077,42,Vũ Thanh Nam,21,62,161,Không tốt lắm,"Hồ bơi sạch sẽ, khu vực giải trí đa dạng.",5,5,3,4,4,2024-03-19 17:00:00,nan,
1078,71,Lý Minh Bình,21,60,156,Giá hợp lý,"Nhân viên phục vụ rất tốt, nhiệt tình.",5,5,3,5,4,2024-03-29 17:00:00,nan,
1079,312,Dương Hải Lan,11,30,81,Thất vọng,"Nhân viên phục vụ rất tốt, nhiệt tình.",3,3,3,5,5,2024-10-29 17:00:00,nan,
1080,356,Bùi Hoàng Long,19,54,140,Tuyệt với,"Phòng hơi chật, tiện nghi chưa đầy đủ lắm.",3,3,3,4,4,2024-04-10 17:00:00,nan,
1081,368,Đỗ Hải Bình,2,8,13,Dịch vụ tốt,"Đồ ăn ngon, view đẹp, sẽ quay lại.",5,5,3,5,4,2024-10-10 17:00:00,nan,
1082,367,Lê Minh Anh,22,63,170,Tốt,"Không gian thoáng đãng, thoải mái.",3,2,3,3,2,2024-05-28 17:00:00,nan,
1083,7,Đặng Minh Dũng,2,8,13,Sẽ quay lại,"Wifi nhanh, ổn định.",5,4,4,5,5,2024-10-27 17:00:00,nan,
1084,146,Phạm Hữu Phong,19,54,140,Đáng giá tiền,Giá hơi cao so với chất lượng.,3,5,4,5,5,2024-02-29 17:00:00,nan,
1085,393,Nguyễn Thu Linh,3,3,2,Tuyệt vời,"Phòng hơi chật, tiện nghi chưa đầy đủ lắm.",5,5,5,5,5,2024-04-26 17:00:00,nan,
1086,397,Hoàng Văn Hùng,22,63,170,Dịch vụ tốt,"Phục vụ nhanh chóng, chuyên nghiệp.",4,2,1,4,3,2024-06-23 17:00:00,nan,
1087,39,Lý Hải Phong,4,9,18,Thất vọng,"Phòng cách âm tốt, yên tĩnh.",4,4,3,5,4,2024-12-02 17:00:00,nan,
1088,342,Lê Hải Cường,22,64,171,Hài lòng,"Không gian thoáng đãng, thoải mái.",3,3,2,4,2,2024-12-29 17:00:00,nan,
1089,82,Hoàng Văn Phong,12,33,87,Khá ổn,"Vị trí thuận lợi, gần biển, dễ đi lại.",2,3,3,3,3,2024-06-30 17:00:00,nan,
1090,64,Ngô Thị Dũng,17,48,125,Không tốt lắm,"Phòng cách âm tốt, yên tĩnh.",5,4,3,5,5,2024-10-30 17:00:00,nan,
1091,297,Bùi Hoàng Bình,7,18,72,Dịch vụ tốt,"Phục vụ nhanh chóng, chuyên nghiệp.",5,4,5,5,5,2024-06-20 17:00:00,nan,
1092,112,Phan Hoàng Dũng,15,42,110,Vị trí thuận lợi,"Vị trí thuận lợi, gần biển, dễ đi lại.",4,5,3,5,5,2024-02-21 17:00:00,nan,
1093,64,Đặng Đức Cường,10,29,79,Không tốt lắm,"Bữa sáng ngon, đa dạng món ăn.",3,4,3,4,3,2024-01-30 17:00:00,nan,
1094,346,Bùi Hữu Dũng,3,5,39,Giá hợp lý,Giá cả hợp lý so với chất lượng.,5,5,5,4,5,2024-02-17 17:00:00,nan,
1095,268,Đặng Minh Nga,4,9,19,Khá ổn,Giá cả hợp lý so với chất lượng.,5,5,3,5,4,2024-06-30 17:00:00,nan,
1096,82,Võ Hải Anh,4,9,19,Không tốt lắm,"Phòng cách âm tốt, yên tĩnh.",5,5,4,5,5,2024-05-27 17:00:00,nan,
1097,390,Bùi Hải Long,2,6,7,Thất vọng,"Vệ sinh sạch sẽ, khăn trải giường mới.",5,4,5,5,4,2024-06-25 17:00:00,nan,
1098,77,Vũ Minh Mai,7,19,72,Khá ổn,"Hồ bơi sạch sẽ, khu vực giải trí đa dạng.",4,5,5,5,5,2024-04-07 17:00:00,nan,
1099,121,Dương Quốc Mai,2,7,9,Tốt,Giá hơi cao so với chất lượng.,4,5,4,4,5,2024-03-14 17:00:00,nan,
1100,36,Hồ Thanh Linh,7,19,72,Phòng đẹp,"Wifi nhanh, ổn định.",5,4,5,4,5,2024-08-23 17:00:00,nan,
1101,253,Vũ Đức Mai,3,5,40,Xuất sắc,"Không gian thoáng đãng, thoải mái.",5,5,4,5,4,2024-11-30 17:00:00,nan,
1102,335,Hồ Đức Bình,4,10,21,Tuyệt với,"Khách sạn rất tuyệt vời, dịch vụ chu đáo, nhân viên thân thiện.",5,5,3,5,5,2024-03-05 17:00:00,nan,
1103,274,Nguyễn Đức Hương,6,15,43,Tuyệt vời,"Không gian thoáng đãng, thoải mái.",4,4,3,5,5,2024-08-07 17:00:00,nan,
1104,358,Lý Hoàng Nam,22,63,170,Tốt,"Khách sạn rất tuyệt vời, dịch vụ chu đáo, nhân viên thân thiện.",4,3,3,4,4,2024-04-26 17:00:00,nan,
1105,78,Lý Thị Anh,3,5,39,Sạch sẽ,"Vị trí thuận lợi, gần biển, dễ đi lại.",5,5,5,5,5,2024-03-24 17:00:00,nan,
1106,399,Ngô Thu Linh,16,45,117,Giá hợp lý,Giá cả hợp lý so với chất lượng.,5,5,4,5,5,2024-06-17 17:00:00,nan,
1107,32,Đặng Hoàng Trang,5,14,34,Khá ổn,"Phòng cách âm tốt, yên tĩnh.",5,5,4,4,5,2024-09-11 17:00:00,nan,
1108,102,Đặng Đức Anh,2,6,7,Đáng giá tiền,"Bữa sáng ngon, đa dạng món ăn.",5,5,4,4,4,2024-04-25 17:00:00,nan,
1109,394,Đỗ Hữu Mai,2,6,7,Rất tốt,"Wifi nhanh, ổn định.",5,5,4,5,5,2024-12-15 17:00:00,nan,
1110,377,Hoàng Minh Nam,2,6,16,Ổn,"Wifi nhanh, ổn định.",4,5,5,5,4,2024-07-02 17:00:00,nan,
1111,22,Hoàng Thanh Cường,9,24,62,Ổn,"Khách sạn rất tuyệt vời, dịch vụ chu đáo, nhân viên thân thiện.",4,5,4,5,5,2024-09-16 17:00:00,nan,
1112,94,Bùi Hữu Bình,19,56,147,Không tốt lắm,"Wifi nhanh, ổn định.",5,4,3,3,3,2024-06-27 17:00:00,nan,
1113,314,Đỗ Thu Linh,10,29,79,Vị trí thuận lợi,"Phòng sạch sẽ, tiện nghi đầy đủ, view đẹp.",3,3,4,5,3,2024-09-09 17:00:00,nan,
1114,269,Ngô Minh Phong,22,63,170,Tuyệt vời,Giá hơi cao so với chất lượng.,2,2,1,4,4,2024-06-10 17:00:00,nan,
1115,284,Nguyễn Quốc Nam,10,27,75,Ổn,"Hồ bơi sạch sẽ, khu vực giải trí đa dạng.",3,5,3,5,4,2024-10-28 17:00:00,nan,
1116,343,Võ Thanh Lan,19,56,147,Rất tốt,"Phục vụ nhanh chóng, chuyên nghiệp.",5,4,4,3,5,2024-08-07 17:00:00,nan,
1117,24,Hoàng Hoàng Linh,5,14,34,Tuyệt vời,"Wifi nhanh, ổn định.",5,4,4,5,4,2024-11-13 17:00:00,nan,
1118,9,Bùi Thị Anh,18,51,132,Xuất sắc,"Vệ sinh sạch sẽ, khăn trải giường mới.",3,3,4,3,4,2024-06-29 17:00:00,nan,
1119,342,Lê Hải Cường,4,11,24,Hài lòng,"Không gian thoáng đãng, thoải mái.",4,5,4,4,5,2024-08-12 17:00:00,nan,
1120,370,Vũ Hải Bình,19,56,147,Rất tốt,"Vệ sinh sạch sẽ, khăn trải giường mới.",5,3,2,3,5,2024-02-08 17:00:00,nan,
1121,52,Ngô Đức Linh,19,56,147,Xuất sắc,"Bữa sáng ngon, đa dạng món ăn.",3,4,2,3,5,2024-02-24 17:00:00,nan,
1122,64,Trần Hoàng Linh,11,30,81,Hoàn hảo,"Phòng hơi chật, tiện nghi chưa đầy đủ lắm.",3,3,4,5,5,2024-12-27 17:00:00,nan,
1123,67,Đỗ Minh Lan,9,24,62,Giá hợp lý,Giá cả hợp lý so với chất lượng.,5,4,5,5,5,2024-05-06 17:00:00,nan,
1124,335,Hồ Đức Bình,3,2,42,Đáng giá tiền,Giá cả hợp lý so với chất lượng.,5,5,4,4,5,2024-03-27 17:00:00,nan,
1125,113,Phan Hữu Anh,19,54,140,Khá ổn,"Vệ sinh sạch sẽ, khăn trải giường mới.",4,4,3,3,4,2024-03-15 17:00:00,nan,
1126,139,Đặng Thị Mai,21,62,161,Hài lòng,"Phòng sạch sẽ, tiện nghi đầy đủ, view đẹp.",5,5,3,4,5,2024-01-31 17:00:00,nan,
1127,94,Đỗ Văn Hùng,12,33,87,Hài lòng,"Khách sạn rất tuyệt vời, dịch vụ chu đáo, nhân viên thân thiện.",4,4,1,3,2,2024-05-22 17:00:00,nan,
1128,250,Đỗ Thị Anh,3,2,4,Rất tốt,"Bữa sáng ngon, đa dạng món ăn.",5,4,3,4,4,2024-08-23 17:00:00,nan,
1129,60,Phan Thị Lan,20,57,148,Phòng đẹp,"Phục vụ nhanh chóng, chuyên nghiệp.",4,3,2,3,5,2024-06-06 17:00:00,nan,
1130,250,Đỗ Thị Anh,18,51,132,Ổn,"Bữa sáng ngon, đa dạng món ăn.",4,5,4,4,5,2024-01-15 17:00:00,nan,
1131,288,Phạm Quốc Hương,5,14,34,Giá hợp lý,"Wifi nhanh, ổn định.",4,5,3,4,5,2024-01-08 17:00:00,nan,
1132,316,Hồ Thanh Linh,19,54,140,Ổn,Giá cả hợp lý so với chất lượng.,4,3,4,4,3,2024-01-13 17:00:00,nan,
1133,67,Trần Văn Phong,9,24,62,Tuyệt vời,Giá hơi cao so với chất lượng.,5,4,3,5,5,2024-02-09 17:00:00,nan,
1134,58,Lê Quốc Trang,5,13,30,Tốt,"Nhân viên phục vụ rất tốt, nhiệt tình.",4,5,5,5,5,2024-01-19 17:00:00,nan,
1135,93,Ngô Thị Trang,22,65,172,Tuyệt với,"Nhân viên phục vụ rất tốt, nhiệt tình.",3,4,1,4,2,2024-09-14 17:00:00,nan,
1136,267,Ngô Quốc Trang,3,2,42,Khá ổn,Giá cả hợp lý so với chất lượng.,5,5,4,4,5,2024-07-04 17:00:00,nan,
1137,139,Trần Đức Lan,2,8,15,Sạch sẽ,Giá cả hợp lý so với chất lượng.,5,4,4,5,4,2024-07-18 17:00:00,nan,
1138,138,Hoàng Thị Trang,3,3,38,Dịch vụ tốt,"Phục vụ nhanh chóng, chuyên nghiệp.",4,5,4,5,5,2024-11-22 17:00:00,nan,
1139,383,Nguyễn Thị Dũng,7,18,73,Hoàn hảo,"Wifi nhanh, ổn định.",4,4,3,5,5,2024-04-27 17:00:00,nan,
1140,313,Đỗ Đức Linh,15,42,109,Vị trí thuận lợi,"Đồ ăn ngon, view đẹp, sẽ quay lại.",4,4,3,5,5,2024-05-25 17:00:00,nan,
1141,49,Phạm Hữu Bình,10,29,79,Ổn,"Bữa sáng ngon, đa dạng món ăn.",5,3,3,5,4,2024-06-26 17:00:00,nan,
1142,291,Nguyễn Thanh Anh,12,33,87,Tuyệt với,"Khách sạn rất tuyệt vời, dịch vụ chu đáo, nhân viên thân thiện.",4,2,3,2,3,2024-12-28 17:00:00,nan,
1143,319,Hồ Minh Nga,5,12,28,Tốt,"Phục vụ nhanh chóng, chuyên nghiệp.",5,5,3,4,5,2024-07-04 17:00:00,nan,
1144,71,Dương Hoàng Dũng,11,30,81,Xuất sắc,"Khách sạn rất tuyệt vời, dịch vụ chu đáo, nhân viên thân thiện.",3,4,2,4,5,2024-04-14 17:00:00,nan,
1145,62,Trần Thanh Bình,20,57,148,Tuyệt vời,"Đồ ăn ngon, view đẹp, sẽ quay lại.",4,5,4,5,3,2025-01-03 17:00:00,nan,
1146,316,Hồ Thanh Linh,4,9,18,Thất vọng,"Hồ bơi sạch sẽ, khu vực giải trí đa dạng.",5,5,4,5,5,2024-01-16 17:00:00,nan,
1147,81,Đặng Đức Mai,5,13,30,Dịch vụ tốt,"Phục vụ nhanh chóng, chuyên nghiệp.",4,5,4,5,4,2024-12-23 17:00:00,nan,
1148,51,Hồ Hải Cường,19,56,147,Phòng đẹp,Giá hơi cao so với chất lượng.,5,4,3,5,5,2024-05-17 17:00:00,nan,
1149,347,Võ Minh Phong,19,56,147,Tuyệt vời,Giá cả hợp lý so với chất lượng.,3,3,2,5,3,2024-06-11 17:00:00,nan,
1150,287,Dương Văn Bình,20,57,148,Tốt,"Đồ ăn ngon, view đẹp, sẽ quay lại.",3,4,3,4,3,2024-12-24 17:00:00,nan,
1151,80,Nguyễn Minh Hương,3,5,40,Phòng đẹp,"Phòng cách âm tốt, yên tĩnh.",4,5,5,5,5,2024-08-07 17:00:00,nan,
1152,59,Phan Đức Phong,3,3,37,Không tốt lắm,"Phòng cách âm tốt, yên tĩnh.",5,4,4,5,5,2024-03-07 17:00:00,nan,
1153,292,Lê Văn Nga,5,14,33,Dịch vụ tốt,"Khách sạn rất tuyệt vời, dịch vụ chu đáo, nhân viên thân thiện.",5,4,3,4,5,2024-10-23 17:00:00,nan,
1154,148,Lý Thanh Phong,9,24,62,Đáng giá tiền,"Phòng sạch sẽ, tiện nghi đầy đủ, view đẹp.",5,5,5,5,4,2024-02-13 17:00:00,nan,
1155,276,Đặng Hữu Hùng,22,63,170,Giá hợp lý,Giá cả hợp lý so với chất lượng.,4,4,3,2,4,2024-11-29 17:00:00,nan,
1156,122,Phan Thu Cường,2,7,9,Xuất sắc,"Khách sạn rất tuyệt vời, dịch vụ chu đáo, nhân viên thân thiện.",4,5,5,5,5,2024-06-08 17:00:00,nan,
1157,376,Nguyễn Quốc Mai,4,10,20,Phòng đẹp,"Nhân viên phục vụ rất tốt, nhiệt tình.",5,5,4,5,5,2024-12-24 17:00:00,nan,
1158,267,Ngô Quốc Trang,15,42,110,Tuyệt với,"Đồ ăn ngon, view đẹp, sẽ quay lại.",5,5,5,5,5,2024-01-14 17:00:00,nan,
1159,42,Lê Văn Bình,22,63,170,Tốt,"Phòng sạch sẽ, tiện nghi đầy đủ, view đẹp.",2,3,3,4,3,2024-07-07 17:00:00,nan,
1160,117,Hồ Quốc Bình,3,3,37,Dịch vụ tốt,Giá hơi cao so với chất lượng.,5,5,3,4,5,2024-01-06 17:00:00,nan,
